quotation_id,customer_key,customer_name,nationality,quote_date,quote_value,shipping_mode,item_count,po_exists,po_value,do_exists,conversion_days,lead_score
022c4a05,fEXeW6R1J3,74q0TneDjU,Unknown,,0.0,Air,0.0,0,,0,-1.0,78.46
02386db7,3PMyW67W67,8ruhF3E51g,Unknown,2022-07-03 16:48:00,2549.0,Air,15.0,1,2549.0,1,122.0,90.99
0250f3c0,p4pkmrbg8M,w4uu7v4H54,Unknown,2023-01-03 14:53:00,5846.8,Sea,2.0,1,5846.8,0,-1.0,75.11
025d1a3b,5fiS378Rr1,m41y4XpKb1,Chinese national (China),,4064.03,Air,44.0,1,4064.03,1,-1.0,31.93
02675b67,1f6et5pP1O,8ruhF3E51g,Unknown,,668.01,Air,1.0,1,668.01,1,-1.0,77.49
02b1c056,a4122309,8ruhF3E51g,Unknown,,1337.69,Air,12.0,1,1337.69,1,-1.0,67.48
02f52ba2,c6a54af3,IL111A66Sq,Unknown,,216.0,Air,1.0,1,216.0,1,-1.0,77.62
031489c9,2ab2c37f,8ruhF3E51g,Unknown,,51604.0,Air,38.0,0,,0,-1.0,21.72
033c13c2,Tb6MBkP8o7,8ruhF3E51g,Malysian,2022-12-09 17:39:00,183.7,Air,6.0,1,183.7,1,-1.0,73.48
0345cbe0,rAmb9tQZRc,,Unknown,,3505.5,Air,6.0,1,3505.5,1,-1.0,72.39
03b12f5a,8Nzo71FGPE,nY8F51VM4y,Chinese National,,4662.2,Air,10.0,1,4662.2,1,-1.0,68.23
03b18e1d,a5837967,15285701,Unknown,,198.62,Air,38.0,0,,0,-1.0,39.6
03c2c1d3,xw71fJ415b,sji5vB20uo,Unknown,,3868.84,Air,19.0,0,,0,-1.0,59.2
03ca69ed,6AyX6y7B9p,8ruhF3E51g,Unknown,2023-01-03 09:49:00,486.85,Air,19.0,0,,0,-1.0,60.56
03d007cf,5960fa38,14ancZS05S,Unknown,2022-11-10 15:40:00,1100.94,Air,9.0,1,1100.94,1,29.0,78.46
03d9115f,5fiS378Rr1,m41y4XpKb1,Chinese national (China),,3147.0,Air,7.0,1,3147.0,1,-1.0,71.6
03ee4088,1b04ee43,347e33f2,Unknown,,309.9,Air,19.0,0,,0,-1.0,60.63
04312b02,87360d9a,09A5j1P96d,Unknown,,5589.32,Air,4.0,1,5589.32,0,-1.0,73.48
043a953e,1f6et5pP1O,8ruhF3E51g,Unknown,,5884.77,Sea,19.0,0,,0,-1.0,58.38
044576d2,dc672852,6z1536hQ1C,Unknown,2022-09-06 12:54:00,4141.0,Air,112.0,1,4141.0,1,-1.0,2.14
0480fd77,8qbgngVgJ0,D9E06y5i3t,Unknown,,2200.02,Air,38.0,0,,0,-1.0,38.81
04b0b0d0,06dd4603,c2c58138,United States of America,2023-03-03 10:32:00,177.0,Air,2.0,1,177.0,1,0.0,77.09
05235f8b,HCXlM3d1LR,,Unknown,,5992.0,Air,19.0,0,,0,-1.0,58.34
05470ac4,64a5a3d4,f1fbe367,Japan,,153.31,Air,4.0,1,153.31,1,-1.0,75.21
054c546d,xEK6r63Cy3,9tu60R7KWP,Unknown,,4221.96,Air,19.0,0,,0,-1.0,59.06
0572c369,fvIH3Ur1DW,S4NrbiX419,Unknown,,288.47,Air,38.0,0,,0,-1.0,39.57
05ae00e1,1292f213,79BSsv9xYm,Unknown,2023-08-03 10:30:00,216.72,Air,1.0,1,216.72,1,31.0,84.5
05bed21d,b911b807,09A5j1P96d,Unknown,,5408.0,Sea,19.0,0,,0,-1.0,58.58
05f544f4,45ed7434,562ca17a,Unknown,,5940.0,Air,456.0,0,,0,-1.0,0.0
06203bd7,a6929d87,pVc35E7p1n,Unknown,,581.07,Air,18.0,1,581.07,1,-1.0,61.59
06222c65,14ea3809,38361855,United States,,483.96,Air,5.0,1,483.96,1,-1.0,74.26
063606af,4Yk09HecPy,8ruhF3E51g,Unknown,2023-12-03 22:54:00,2198.74,Air,20.0,1,2198.74,1,-1.0,58.79
063a9eac,fEXeW6R1J3,74q0TneDjU,Unknown,,0.0,Air,19.0,0,,0,-1.0,60.75
063b2b9e,8c3d446f,524d4a87,Unknown,,209.47,Air,38.0,0,,0,-1.0,39.6
064c3375,b99e96ff,9tu60R7KWP,Unknown,,2585.01,Air,1.0,1,2585.01,1,-1.0,76.93
067fbcb9,6B4UJCNbVd,8ruhF3E51g,Indian,,383.0,Air,1.0,1,383.0,1,-1.0,77.58
06cd664b,fEXeW6R1J3,74q0TneDjU,Unknown,,481.44,Air,1.0,1,481.44,1,-1.0,77.55
06ffab21,GHbrZ9WLG3,IL111A66Sq,Chinese national (China),,742.25,Air,13.0,1,742.25,0,-1.0,66.7
070d7475,64c0444d,gj3Nvpx9GU,Unknown,2022-09-05 09:00:00,1074.99,Air,114.0,0,,0,-1.0,2.07
071a38bb,fEXeW6R1J3,74q0TneDjU,Unknown,,1843.0,Air,76.0,0,,0,-1.0,10.33
0734107b,mBB4FCi2BK,09A5j1P96d,Unknown,,608.01,Air,19.0,0,,0,-1.0,60.51
074fbebd,660014bd,8ruhF3E51g,China,2023-03-02 11:18:00,741.58,Air,8.0,1,741.58,1,122.0,93.45
07662a2e,n4Ks0QC3ZO,x9Dz6KWcO3,Unknown,,0.0,Air,19.0,0,,0,-1.0,60.75
077b8cc6,fEXeW6R1J3,74q0TneDjU,Unknown,,3489.88,Air,14.0,1,3489.88,1,-1.0,64.65
07c45f9d,fvIH3Ur1DW,S4NrbiX419,Unknown,,651.97,Air,19.0,0,,0,-1.0,60.49
07c9cf5e,I51lshr5ZM,,Unknown,2023-09-02 15:15:00,12803.35,Air,38.0,0,,0,-1.0,34.69
07d80202,X2ywZ9GnQE,8ruhF3E51g,Unknown,2023-10-01 16:06:00,0.0,Air,19.0,0,,0,-1.0,60.75
07f691f0,39N5vR34gp,14ancZS05S,Unknown,,311.0,Sea,19.0,0,,0,-1.0,60.63
08322b3e,69dc9b2b,6608c196,Unknown,,278.34,Air,2.0,1,278.34,1,-1.0,76.81
08425ee1,y3rYf2f9gy,gj3Nvpx9GU,Unknown,2022-03-08 15:39:00,440.0,Air,2.0,1,440.0,1,213.0,98.55
0852f9a4,xw71fJ415b,sji5vB20uo,Unknown,2022-01-09 10:36:00,3318.8,Sea,57.0,0,,0,-1.0,20.92
08532b93,taVC7LD6U1,gj3Nvpx9GU,Unknown,,1210.0,Air,38.0,0,,0,-1.0,39.2
08845b10,6Lwm5z7Yj9,Cdq9LonMZb,Unknown,2023-01-03 11:24:00,1286.52,Air,1.0,1,1286.52,0,58.0,88.69
08c436bd,b0Aif96VUF,8ruhF3E51g,Chinese national (China),,5866.0,Sea,1.0,1,5866.0,1,-1.0,75.94
08f455ce,9or4RfVO6l,8ruhF3E51g,Chinese national (China),2022-01-10 16:07:00,858.5,Air,1.0,1,858.5,1,150.0,96.66
094841d7,0a89e163,0333b930,Unknown,,123.0,Air,2.0,1,123.0,1,-1.0,76.86
0955705a,fvIH3Ur1DW,S4NrbiX419,Unknown,2023-10-01 17:31:00,95.72,Air,1.0,1,95.72,1,60.0,89.16
09b1917f,11320a73,59db8846,Unknown,,195.88,Air,38.0,0,,0,-1.0,39.6
09d4b3e1,39N5vR34gp,14ancZS05S,Unknown,2022-10-01 17:26:00,2269.1,Not Specified,72.0,1,2269.1,1,-1.0,12.05
09db4f23,f63e6d5a,IL111A66Sq,Unknown,,40.0,Air,19.0,0,,0,-1.0,60.74
09e7108f,06suB5p2mX,T7Y79rjV29,Unknown,,168.0,Air,1.0,1,168.0,1,-1.0,77.64
09eb99e4,Tb6MBkP8o7,8ruhF3E51g,Malysian,,212.16,Air,24.0,1,212.16,1,-1.0,55.19
09ef70e3,07acaa1f,dd28fb02,Unknown,2022-04-05 09:55:00,432.31,Air,4.0,1,432.0,1,-1.0,75.12
0a356469,847ad8ff,45ad6563,Canada,2022-09-09 13:25:00,711.2,Air,3.0,1,711.2,1,-1.0,75.87
0a624cff,xw71fJ415b,sji5vB20uo,Unknown,,5683.47,Air,38.0,0,,0,-1.0,37.43
0a6f5c83,86ce9468,16490ec9,South Korea,2023-01-02 21:21:00,282.74,Air,4.0,1,282.74,1,0.0,75.43
0a90760b,9266f450,b1a3d08f,Unknown,,458.5100000000001,Air,57.0,0,,0,-1.0,21.72
0aa7f99c,2710db20,jMxyJ3g9S5,Unknown,2022-01-09 08:07:00,422.0,Air,12.0,1,259.94,1,-1.0,67.81
0acfbd65,oBZ1jj29Q9,8ruhF3E51g,Unknown,2022-07-04 17:59:00,4591.95,Air,279.0,1,4591.95,1,122.0,0.01
0ad2315e,UzdUJe146M,8ruhF3E51g,Unknown,2022-06-10 16:02:00,2100.0,Air,1.0,1,2100.0,1,152.0,96.69
0b48b905,c860b4a5,d4060f63,United States,,614.66,Air,3.0,1,614.66,1,-1.0,75.9
0b5b1b6f,Y2MYCQ56NK,95nYR7APw5,Singaporean,,23342.59,Air,19.0,0,,0,-1.0,51.16
0b7051b0,UzdUJe146M,8ruhF3E51g,Unknown,2022-05-10 19:04:00,3222.99,Air,9.0,1,3222.99,1,-1.0,69.71
0bb97d61,1292f213,79BSsv9xYm,Unknown,,43272.0,Air,19.0,0,,0,-1.0,42.87
